Interest,Aliases,vector_id
digital agriculture,DA,interest_770
digital communication,"DC, Telecommunications, Wireless Systems",interest_771
digital fabrication,DF,interest_772
digital geometry processing,DGP,interest_773
digital health,DH,interest_774
digital image forensics,"DIF, Image Analysis, Visual Recognition",interest_775
digital image processing,"DIP, Image Analysis, Visual Recognition",interest_776
digital photoelasticity,DP,interest_777
digital protection & automation,DPA,interest_778
digital signal processing,DSP,interest_779
digital soil mapping,DSM,interest_780
digital twin,DT,interest_781
digital twins,DT,interest_782
digital-numerical protection,DNP,interest_783
dimond like carbon films,DLCF,interest_784
dinsar,"dinsar Research, dinsar Technology",interest_785
diode lasers,DL,interest_786
direct air capture,"Artificial Intelligence, DAC, Machine Intelligence",interest_787
direct digital manufacturing,DDM,interest_788
direct energy deposition,"Clean Energy, DED, Renewable Energy Systems",interest_789
discrete element method,DEM,interest_790
displays,"displays Research, displays Technology",interest_791
distributed algorithms,DA,interest_792
distributed computing,DC,interest_793
distributed control,"Autonomous Systems, DC, Robotics & Automation",interest_794
distributed generation,DG,interest_795
distribution automation,DA,interest_796
distribution system improvemen,DSI,interest_797
distribution systems,DS,interest_798
distribution theory,DT,interest_799
distributued algorithm,DA,interest_800
dithiocarbamates,"dithiocarbamates Research, dithiocarbamates Technology",interest_801
dmfc,"dmfc Research, dmfc Technology",interest_802
dna alkylation,DA,interest_803
dna nanotechnology,"DN, Nanoscale Science, Nanotechnology",interest_804
dna repair,"Artificial Intelligence, DR, Machine Intelligence",interest_805
dna repair and protein engineering,"Artificial Intelligence, DRPE, Machine Intelligence",interest_806
domain adaptation,"Artificial Intelligence, DA, Machine Intelligence",interest_807
domain generalization,"Artificial Intelligence, DG, Machine Intelligence",interest_808
domain specific ai hardware accelerators,"Artificial Intelligence, DSAHA, Machine Intelligence",interest_809
donor acceptor systems,DAS,interest_810
downstream processing,DP,interest_811
drainage engineering,"Artificial Intelligence, DE, Machine Intelligence",interest_812
driver bahviour,DB,interest_813
drives,"drives Research, drives Technology",interest_814
driving behavior,DB,interest_815
droplet combustion,DC,interest_816
drops,"drops Research, drops Technology",interest_817
drr and adaptation policy strategies,DAPS,interest_818
drug,"drug Research, drug Technology",interest_819
drug delivery,DD,interest_820
drug design,DD,interest_821
drug designing,DD,interest_822
drug development,DD,interest_823
drug discovery,DD,interest_824
drug discovery and cancer immunotherapy,DDCI,interest_825
drug formulations,DF,interest_826
drug resistance and bioremediation,"Biomedical Engineering, Biotechnology, DRB",interest_827
drug target and discovery,DTD,interest_828
drug targets,DT,interest_829
dsp techniques in communications,"DTC, Telecommunications, Wireless Systems",interest_830
dsscs and perovskite solar cells,"Clean Energy, DPSC, Renewable Energy Systems",interest_831
dual catalysis,DC,interest_832
durability,"durability Research, durability Technology",interest_833
dye,"dye Research, dye Technology",interest_834
dye removal,DR,interest_835
dynamic fracture,DF,interest_836
dynamic soil properties,DSP,interest_837
dynamic system,DS,interest_838
dynamic traffic,DT,interest_839
dynamic traffic assignment,DTA,interest_840
dynamical system theory,DST,interest_841
dynamical systems,DS,interest_842
dynamics,"dynamics Research, dynamics Technology",interest_843
dynamics and control,"Autonomous Systems, DC, Robotics & Automation",interest_844
e-business,EB,interest_845
e-waste,EW,interest_846
ear recognition,ER,interest_847
early warning systems,EWS,interest_848
earth sciences,ES,interest_849
earthquake,"earthquake Research, earthquake Technology",interest_850
earthquake early warning,EEW,interest_851
earthquake engineering,EE,interest_852
ecdm,"ecdm Research, ecdm Technology",interest_853
ecological climatology,EC,interest_854
econometrics,"econometrics Research, econometrics Technology",interest_855
economic geography,EG,interest_856
economics of information systems,EIS,interest_857
edge ai,"Artificial Intelligence, EA, Edge Computing, Edge Inference, Machine Intelligence, On-Device AI, TinyML",interest_858
edge computing,EC,interest_859
edge-cloud continuum,ECC,interest_860
edm,"edm Research, edm Technology",interest_861
education,"education Research, education Technology",interest_862
education for sustainability,"Artificial Intelligence, ES, Machine Intelligence",interest_863
educational psychology,EP,interest_864
educational technology,ET,interest_865
eeg,"eeg Research, eeg Technology",interest_866
efficient deep learning,"Artificial Intelligence, EDL, Machine Intelligence",interest_867
ehealth,"ehealth Research, ehealth Technology",interest_868
eia/emp studies,EES,interest_869
eis,"eis Research, eis Technology",interest_870
ejector flows,EF,interest_871
elastocapillary effect,EE,interest_872
elastodynamics,"elastodynamics Research, elastodynamics Technology",interest_873
elastography,"elastography Research, elastography Technology",interest_874
electric vehicles,EV,interest_875
electrical and thermal transport,ETT,interest_876
electrical engineering,EE,interest_877
electrical engineering and energy,"Clean Energy, EEE, Renewable Energy Systems",interest_878
electrical machinery,EM,interest_879
electro-a,EA,interest_880
electro-and bio-remediation,"Biomedical Engineering, Biotechnology, EBR",interest_881
electroanalytical chemistry,EC,interest_882
electrocaloric,"electrocaloric Research, electrocaloric Technology",interest_883
electrocaloric elastocaloric,EE,interest_884
electrocatalysis,"electrocatalysis Research, electrocatalysis Technology",interest_885
electrocatalyst for energy systems,"Clean Energy, EES, Renewable Energy Systems",interest_886
electrochemical devices,ED,interest_887
electrochemical energy conversion and,"Clean Energy, EEC, Renewable Energy Systems",interest_888
electrochemical energy storage,"Clean Energy, EES, Renewable Energy Systems",interest_889
electrochemical energy systems,"Clean Energy, EES, Renewable Energy Systems",interest_890
electrochemistry,"electrochemistry Research, electrochemistry Technology",interest_891
electrochromic device,ED,interest_892
electrochromic devices,ED,interest_893
electrochromic material,"Advanced Materials, EM, Materials Science",interest_894
electrochromics,"electrochromics Research, electrochromics Technology",interest_895
electrodeposition,"electrodeposition Research, electrodeposition Technology",interest_896
electrohydrodynamics,"electrohydrodynamics Research, electrohydrodynamics Technology",interest_897
electrokinetic flows,EF,interest_898
electromagnetic theory,ET,interest_899
electromagnetics,"electromagnetics Research, electromagnetics Technology",interest_900
electromembrane drug delivery phase,EDDP,interest_901
electron microscopy,EM,interest_902
electronic cooling,EC,interest_903
electronic design automation,EDA,interest_904
electronic materials,"Advanced Materials, EM, Materials Science",interest_905
electronic materials & devices,"Advanced Materials, EMD, Materials Science",interest_906
electronic packaging,EP,interest_907
electronic structure,ES,interest_908
electronic waste recycling,EWR,interest_909
electronic-skin,ES,interest_910
electronics,"electronics Research, electronics Technology",interest_911
electronics cooling,EC,interest_912
electrophoresis,"electrophoresis Research, electrophoresis Technology",interest_913
electrospinning,"electrospinning Research, electrospinning Technology",interest_914
electrospun nanofibers,"EN, Nanoscale Science, Nanotechnology",interest_915
ellipsometry,"ellipsometry Research, ellipsometry Technology",interest_916
emat,"emat Research, emat Technology",interest_917
embedded hardware,EH,interest_918
embedded systems,ES,interest_919
embedded systems for renewable energy sources and storage,"Clean Energy, ESRESS, Renewable Energy Systems",interest_920
embedded systesm for health care,ESHC,interest_921
emerging contaminants,EC,interest_922
emerging contaminat removal,ECR,interest_923
emerging memories,EM,interest_924
emissions,"emissions Research, emissions Technology",interest_925
emotional design,ED,interest_926
emotions,"emotions Research, emotions Technology",interest_927
empirical macroeconomics,EM,interest_928
enantioselective synthesis,ES,interest_929
enantioseparation,"enantioseparation Research, enantioseparation Technology",interest_930
end-fire antennas,EFA,interest_931
endocrinology,"endocrinology Research, endocrinology Technology",interest_932
energetic oxidizers propalents,EOP,interest_933
energy,"Clean Energy, Renewable Energy Systems",interest_934
energy & environment,"Clean Energy, EE, Renewable Energy Systems",interest_935
energy - electrode electrolyte,"Clean Energy, EEE, Renewable Energy Systems",interest_936
energy analysis of,"Clean Energy, EA, Renewable Energy Systems",interest_937
energy and fuels,"Clean Energy, EF, Renewable Energy Systems",interest_938
energy co,"Clean Energy, EC, Renewable Energy Systems",interest_939
energy conversion,"Clean Energy, EC, Renewable Energy Systems",interest_940
energy conversion & storage,"Clean Energy, ECS, Renewable Energy Systems",interest_941
energy conversion and storage,"Clean Energy, ECS, Renewable Energy Systems",interest_942
energy devices,"Clean Energy, ED, Renewable Energy Systems",interest_943
energy efficiency,"Clean Energy, EE, Renewable Energy Systems",interest_944
energy efficient,"Clean Energy, EE, Renewable Energy Systems",interest_945
energy generation,"Clean Energy, EG, Renewable Energy Systems",interest_946
energy generation and storage,"Clean Energy, EGS, Renewable Energy Systems",interest_947
energy geomechanics,"Clean Energy, EG, Renewable Energy Systems",interest_948
energy harvesting,"Clean Energy, EH, Renewable Energy Systems",interest_949
energy harvesting and storage,"Clean Energy, EHS, Renewable Energy Systems",interest_950
energy harvesting based on 2d/hybrid,"Clean Energy, EHBO2H, Renewable Energy Systems",interest_951
energy harvesting system,"Clean Energy, EHS, Renewable Energy Systems",interest_952
energy infrastructure,"Clean Energy, EI, Renewable Energy Systems",interest_953
energy management systems,"Clean Energy, EMS, Renewable Energy Systems",interest_954
energy materials,"Advanced Materials, Clean Energy, EM, Materials Science, Renewable Energy Systems",interest_955
energy materials for,"Advanced Materials, Clean Energy, EM, Materials Science, Renewable Energy Systems",interest_956
energy policy,"Clean Energy, EP, Renewable Energy Systems",interest_957
energy science & engineering,"Clean Energy, ESE, Renewable Energy Systems",interest_958
energy storage,"Clean Energy, ES, Renewable Energy Systems",interest_959
energy storage and,"Clean Energy, ES, Renewable Energy Systems",interest_960
energy storage and conversion materials,"Advanced Materials, Clean Energy, ESCM, Materials Science, Renewable Energy Systems",interest_961
energy storage capacitors,"Clean Energy, ESC, Renewable Energy Systems",interest_962
energy storage devices,"Clean Energy, ESD, Renewable Energy Systems",interest_963
energy storage materials,"Advanced Materials, Clean Energy, ESM, Materials Science, Renewable Energy Systems",interest_964
energy storage/conversion devices,"Clean Energy, ESCD, Renewable Energy Systems",interest_965
energy storage/harvesting,"Clean Energy, ESH, Renewable Energy Systems",interest_966
energy systems,"Clean Energy, ES, Renewable Energy Systems",interest_967
energy technology,"Clean Energy, ET, Renewable Energy Systems",interest_968
engine control,"Autonomous Systems, EC, Robotics & Automation",interest_969
engineering,"engineering Research, engineering Technology",interest_970
engineering (water and waste water treatment,EWWWT,interest_971
engineering behaviour of jointed rocks and,EBJR,interest_972
engineering geology,EG,interest_973
engineering geology and rock mechanics,EGRM,interest_974
engineering hydrology,EH,interest_975
engineering seismology,ES,interest_976
enhanced oil recovery,EOR,interest_977
entrepreneurship-as-practice,EAP,interest_978
environment,"environment Research, environment Technology",interest_979
environment & health,EH,interest_980
environment and development,ED,interest_981
environment and economics,EE,interest_982
environment and resource economics,ERE,interest_983
environment microbiology,"Biomedical Engineering, Biotechnology, EM",interest_984
environmental and water resources,EWR,interest_985
environmental bioprocess,"Biomedical Engineering, Biotechnology, EB",interest_986
environmental biotechnology,"Biomedical Engineering, Biotechnology, EB",interest_987
environmental biotechnology &,"Biomedical Engineering, Biotechnology, EB",interest_988
environmental chemistry,EC,interest_989
environmental economics,EE,interest_990
environmental engineering,EE,interest_991
environmental engneering,EE,interest_992
environmental flow,EF,interest_993
environmental microbiology,"Biomedical Engineering, Biotechnology, EM",interest_994
environmental nanotechnology,"EN, Nanoscale Science, Nanotechnology",interest_995
environmental pollution,EP,interest_996
environmental remediation,ER,interest_997
environmental science and egg,ESE,interest_998
environmental sciences,ES,interest_999
environmental sustainability,"Artificial Intelligence, ES, Machine Intelligence",interest_1000
enzyme,"enzyme Research, enzyme Technology",interest_1001
enzyme and microbial technology,EMT,interest_1002
enzyme chemistry,EC,interest_1003
enzyme engineering,EE,interest_1004
enzymes,"enzymes Research, enzymes Technology",interest_1005
epigenetics,"epigenetics Research, epigenetics Technology",interest_1006
epitaxial thin films,ETF,interest_1007
epitaxy,"epitaxy Research, epitaxy Technology",interest_1008
ergonomics,"ergonomics Research, ergonomics Technology",interest_1009
erosion wear,EW,interest_1010
estimation theory,ET,interest_1011
etc,"etc Research, etc Technology",interest_1012
ethnic entp,EE,interest_1013
ev chargers & motors,ECM,interest_1014
ev integration,EI,interest_1015
evaporation/condensation of drops,ECD,interest_1016
evolution,"evolution Research, evolution Technology",interest_1017
evolution of multipartite chromosome,EMC,interest_1018
evolutionary algorithms,EA,interest_1019
evop,"evop Research, evop Technology",interest_1020
evs,"evs Research, evs Technology",interest_1021
excited state prototropism,ESP,interest_1022
exoplanets,"exoplanets Research, exoplanets Technology",interest_1023
experimental aerodynamics,EA,interest_1024
experimental condensed matter physics,ECMP,interest_1025
experimental fluid dynamics,EFD,interest_1026
experimental fluid mechanics,EFM,interest_1027
experimental geotechnics,EG,interest_1028
experimental high energy physics,"Clean Energy, EHEP, Renewable Energy Systems",interest_1029
experimental mechanics,EM,interest_1030
experimental methods,EM,interest_1031
experimental phy chem,EPC,interest_1032
experimental physics,EP,interest_1033
explainable & generalization ai,"Artificial Intelligence, EGA, Machine Intelligence",interest_1034
exposure assessment,EA,interest_1035
expt and num analyses in manuf,ENAM,interest_1036
extended reality,ER,interest_1037
extents of reaction,ER,interest_1038
extraction separation and recovery of metals,ESRM,interest_1039
extractive metallurgy,EM,interest_1040
extremal problems,EP,interest_1041
extremum seeking control,"Autonomous Systems, ESC, Robotics & Automation",interest_1042
fabrication,"fabrication Research, fabrication Technology",interest_1043
face recognition,FR,interest_1044
facility design,FD,interest_1045
faecal sludge management,FSM,interest_1046
fame,"fame Research, fame Technology",interest_1047
farm machinery,FM,interest_1048
fast algorithms,FA,interest_1049
fast radio bursts,FRB,interest_1050
fatigue,"fatigue Research, fatigue Technology",interest_1051
fatigue & fracture mechanics,FFM,interest_1052
fatigue & impact,FI,interest_1053
fatigue and fracture,FF,interest_1054
fault diagnosis,FD,interest_1055
fault diagnostic and prognostic,FDP,interest_1056
fault tolerance,FT,interest_1057
fdi,"fdi Research, fdi Technology",interest_1058
fe analysis,FA,interest_1059
fea,"fea Research, fea Technology",interest_1060
fecal sludge and septage management,FSSM,interest_1061
federated learning,"Artificial Intelligence, FL, Machine Intelligence",interest_1062
fem,"fem Research, fem Technology",interest_1063
femtosecond pulse shaping,FPS,interest_1064
ferrites,"ferrites Research, ferrites Technology",interest_1065
ferroelectric,"ferroelectric Research, ferroelectric Technology",interest_1066
ferroelectric fet,FF,interest_1067
ferroelectric liquid crystals,FLC,interest_1068
ferroelectric thin films,FTF,interest_1069
ferroelectrics,"ferroelectrics Research, ferroelectrics Technology",interest_1070
ferroics,"ferroics Research, ferroics Technology",interest_1071
ferrous extraction,FE,interest_1072
fes for stroke & cp children,FSCC,interest_1073
few-shot / zero-shot learning,"Artificial Intelligence, FSZSL, Machine Intelligence",interest_1074
fiber optics,FO,interest_1075
fiber reinforced,FR,interest_1076
field emission,FE,interest_1077
field ion microscopy and atom probe,FIMAP,interest_1078
film studies,FS,interest_1079
filt,"filt Research, filt Technology",interest_1080
filters,"filters Research, filters Technology",interest_1081
finance,"finance Research, finance Technology",interest_1082
finance and accounting,FA,interest_1083
financial cryptography,FC,interest_1084
financial management,FM,interest_1085
financial markets,FM,interest_1086
finite element,FE,interest_1087
finite element analysis,FEA,interest_1088
finite element method,FEM,interest_1089
finite element methods,FEM,interest_1090
finite element model,FEM,interest_1091
finite frame theory and its application to,FFTIA,interest_1092
fire dynamics,FD,interest_1093
fire structural engineering,FSE,interest_1094
firm dynamics,FD,interest_1095
first principles calculations,FPC,interest_1096
fixed point theory,FPT,interest_1097
flapping wing aerodynamics,FWA,interest_1098
flexible & printed electronics,FPE,interest_1099
flexible devices and sensors,FDS,interest_1100
flexible electronics,FE,interest_1101
flexible photodetector,FP,interest_1102
flexible sensors,FS,interest_1103
flexible solar,"Clean Energy, FS, Renewable Energy Systems",interest_1104
flexoelectricity,"flexoelectricity Research, flexoelectricity Technology",interest_1105
flight control,"Autonomous Systems, FC, Robotics & Automation",interest_1106
flight dynamics,FD,interest_1107
flight mechanics,FM,interest_1108
flim/fcs,FF,interest_1109
flipped classroom,FC,interest_1110
flood forecasting using ai/ml,"Artificial Intelligence, FFUAM, Machine Intelligence",interest_1111
flood hydrology,FH,interest_1112
flood risk analysis,FRA,interest_1113
flouroscense,"flouroscense Research, flouroscense Technology",interest_1114
flow instability,FI,interest_1115
flow measurement,FM,interest_1116
flow past deformable solid surfaces,FPDSS,interest_1117
flow through fractured reservoirs  -  eor,FTFRE,interest_1118
flow through porous media,FTPM,interest_1119
fluid dynamics,FD,interest_1120
fluid flow,FF,interest_1121
fluid machinery,FM,interest_1122
fluid mechanics,FM,interest_1123
fluid mechanics and heat transfer,FMHT,interest_1124
fluid turbulence,FT,interest_1125
fluid-structure interaction,FSI,interest_1126
fluidic,"fluidic Research, fluidic Technology",interest_1127
fluidization,"fluidization Research, fluidization Technology",interest_1128
fluidized bed,FB,interest_1129
fluidized bed technology,FBT,interest_1130
fluorescence,"fluorescence Research, fluorescence Technology",interest_1131
fluorescence spectroscopy,FS,interest_1132
fluorinated polymers,FP,interest_1133
fluorogenic drug delivery,FDD,interest_1134
fmpe,"fmpe Research, fmpe Technology",interest_1135
foam concrete,FC,interest_1136
focused ion beams,FIB,interest_1137
fog and edge computing,FEC,interest_1138
food engineering,FE,interest_1139
food packaging,FP,interest_1140
food process engineering,FPE,interest_1141
food safety,FS,interest_1142
food science & technology,FST,interest_1143
food science and technology,FST,interest_1144
forecasting,"forecasting Research, forecasting Technology",interest_1145
forest informatics,FI,interest_1146
forest management & food laws,FMFL,interest_1147
form studies,FS,interest_1148
formal language,FL,interest_1149
formal methods,FM,interest_1150
formative assessment,FA,interest_1151
foundation,"foundation Research, foundation Technology",interest_1152
foundation engineering,FE,interest_1153
fractional calculus,FC,interest_1154
fractional differential equations,FDE,interest_1155
fractional order element,FOE,interest_1156
fracture,"fracture Research, fracture Technology",interest_1157
fracture and damage mechanics,FDM,interest_1158
fracture and fatigue mechanics,FFM,interest_1159
fracture behaviour,FB,interest_1160
fracture mechanics,FM,interest_1161
free-energy simulations,"Clean Energy, FES, Renewable Energy Systems",interest_1162
frequency selective surface,FSS,interest_1163
freshwater macroinvertebrates,FM,interest_1164
fretting,"fretting Research, fretting Technology",interest_1165
friction,"friction Research, friction Technology",interest_1166
friction stir processing,FSP,interest_1167
frp composites,FC,interest_1168
frugal design,FD,interest_1169
fsi,"fsi Research, fsi Technology",interest_1170
fso,"fso Research, fso Technology",interest_1171
fss,"fss Research, fss Technology",interest_1172
fsw/fsp,FF,interest_1173
fuel cell,"Clean Energy, FC, Renewable Energy Systems",interest_1174
fuels and chemicals from renewable,"Clean Energy, FCFR, Renewable Energy Systems",interest_1175
full-duplex radios,FDR,interest_1176
functional,"functional Research, functional Technology",interest_1177
functional biomaterials,"Advanced Materials, Biomedical Engineering, Biotechnology, FB, Materials Science",interest_1178
functional genomics,FG,interest_1179
functional genomics of rice,FGR,interest_1180
functional material- nitride & oxide,"Advanced Materials, FMNO, Materials Science",interest_1181
functional materials,"Advanced Materials, FM, Materials Science",interest_1182
functional organic materials,"Advanced Materials, FOM, Materials Science",interest_1183
fundamental science,FS,interest_1184
fuzzy data envelopment analysis,FDEA,interest_1185
fuzzy geometry,FG,interest_1186
fuzzy logic,FL,interest_1187
fuzzy logic & approximate reasoning,FLAR,interest_1188
fuzzy reliability,FR,interest_1189
galaxy formation and evolution,GFE,interest_1190
gan,"gan Research, gan Technology",interest_1191
gas adsorption and separation,GAS,interest_1192
gas dynamics,GD,interest_1193
gas hydrates,GH,interest_1194
gas sensing,GS,interest_1195
gas sensors,GS,interest_1196
gas separation,GS,interest_1197
gas separation: membranes,GSM,interest_1198
gear engineering,GE,interest_1199
gear fault diagnosis,GFD,interest_1200
gelation and rheology,GR,interest_1201
genai,"Artificial Intelligence, Machine Intelligence",interest_1202
gender,"gender Research, gender Technology",interest_1203
gene therapy,GT,interest_1204
gene therapy: neuro-ophthalmic & blood,GTNOB,interest_1205
general relativity,GR,interest_1206
general theory of relativity and black holes,GTRBH,interest_1207
genetic agorithms,GA,interest_1208
genetics,"genetics Research, genetics Technology",interest_1209
genomics and hiv pathogenesis,GHP,interest_1210
geo-energy systems,"Clean Energy, GES, Renewable Energy Systems",interest_1211
geo-environmental engineering,GEE,interest_1212
geo-mechanics,GM,interest_1213
geoai,"Artificial Intelligence, Machine Intelligence",interest_1214
geochemistry,"geochemistry Research, geochemistry Technology",interest_1215
geochronology,"geochronology Research, geochronology Technology",interest_1216
geoenvironmental eng,GE,interest_1217
geohazards,"geohazards Research, geohazards Technology",interest_1218
geohydrology,"geohydrology Research, geohydrology Technology",interest_1219
geohydrology),"geohydrology) Research, geohydrology) Technology",interest_1220
geoinformatics,"geoinformatics Research, geoinformatics Technology",interest_1221
geology,"geology Research, geology Technology",interest_1222
geometric function theory,GFT,interest_1223
geomorphology,"geomorphology Research, geomorphology Technology",interest_1224
geophysical investigation,GI,interest_1225
geopolymer concrete,GC,interest_1226
geospatial modeling,GM,interest_1227
geosynthetic engineering,GE,interest_1228
geosynthetics,"geosynthetics Research, geosynthetics Technology",interest_1229
geotechnical and geoenvironmental,GG,interest_1230
geotechnical earthquake engineering,GEE,interest_1231
geotechnical eng,GE,interest_1232
geotechnical engineering,GE,interest_1233
gerontology,"gerontology Research, gerontology Technology",interest_1234
gesocience,"gesocience Research, gesocience Technology",interest_1235
gis,"gis Research, gis Technology",interest_1236
gis and remote sensing,GRS,interest_1237
glaciology,"glaciology Research, glaciology Technology",interest_1238
glass-ceramics,GC,interest_1239
glasses and glass-ceramics,GGC,interest_1240
global value chains,"Artificial Intelligence, GVC, Machine Intelligence",interest_1241
glycoscience,"glycoscience Research, glycoscience Technology",interest_1242
gmpe,"gmpe Research, gmpe Technology",interest_1243
gnss remote sensing,GRS,interest_1244
gps,"gps Research, gps Technology",interest_1245
gradient nanostructured alloys,"GNA, Nanoscale Science, Nanotechnology",interest_1246
graft copolymers,GC,interest_1247
grain boundaries,"Artificial Intelligence, GB, Machine Intelligence",interest_1248
granular flows,GF,interest_1249
graph analytics,GA,interest_1250
graph colorings,GC,interest_1251
graph neural network (gnn),"GNNG, Telecommunications, Wireless Systems",interest_1252
graph theory,GT,interest_1253
graphene,"graphene Research, graphene Technology",interest_1254
graphene & 2d systems,G2S,interest_1255
graphene microscopy,GM,interest_1256
graphs and matrices,GM,interest_1257
grasping,"grasping Research, grasping Technology",interest_1258
gravitation and cosmology,GC,interest_1259
gravitational waves,GW,interest_1260
gravity,"gravity Research, gravity Technology",interest_1261
grbs,"grbs Research, grbs Technology",interest_1262
green chemistry,GC,interest_1263
green composites,GC,interest_1264
green energy,"Clean Energy, GE, Renewable Energy Systems",interest_1265
green finance & green energy,"Clean Energy, GFGE, Renewable Energy Systems",interest_1266
green hydrgen,GH,interest_1267
green hydrogen,GH,interest_1268
green materials,"Advanced Materials, GM, Materials Science",interest_1269
green technology,GT,interest_1270
green transition,GT,interest_1271
greenhouse,"greenhouse Research, greenhouse Technology",interest_1272
greenhouse gas,GG,interest_1273
grid 2 vehicle,G2V,interest_1274
grinding,"grinding Research, grinding Technology",interest_1275
ground improvement,GI,interest_1276
ground motion simulation,GMS,interest_1277
ground motion studies,GMS,interest_1278
ground water,GW,interest_1279
groundwater,"groundwater Research, groundwater Technology",interest_1280
groundwater management,GM,interest_1281
groundwater modeling,GM,interest_1282
group dynamics,GD,interest_1283
group technology,GT,interest_1284
growth-defect-diffusionoxide,GDD,interest_1285
guidance & navigation,GN,interest_1286
gut-brain axis,"Artificial Intelligence, GBA, Machine Intelligence",interest_1287
h2 production,HP,interest_1288
h2 storage,HS,interest_1289
halide perovskite,HP,interest_1290
halide perovskites,HP,interest_1291
hand and leg exoskeletons,HLE,interest_1292
haptics,"haptics Research, haptics Technology",interest_1293
harbour,"harbour Research, harbour Technology",interest_1294
hardware,"hardware Research, hardware Technology",interest_1295
hardware design,HD,interest_1296
hardware security,HS,interest_1297
hardware security and trust,HST,interest_1298
harmonic analysis,HA,interest_1299
harmonic mappings,HM,interest_1300
hcci,"hcci Research, hcci Technology",interest_1301
hci,"hci Research, hci Technology",interest_1302
health,"health Research, health Technology",interest_1303
health delivery,HD,interest_1304
health monitoring of hydraulic,HMH,interest_1305
health psychology,HP,interest_1306
health risk,HR,interest_1307
healthcare delivery models for low resource,HDMLR,interest_1308
healthcare interoperability,HI,interest_1309
healthcare management,HM,interest_1310
healthcare nanotechnology,"HN, Nanoscale Science, Nanotechnology",interest_1311
healthcare technology,HT,interest_1312
heat and mass transfer,HMT,interest_1313
heat and moisture transport through saturated,HMTTS,interest_1314
heat exchangers,HE,interest_1315
heat pipes,HP,interest_1316
heat t,HT,interest_1317
heat transfer,HT,interest_1318
heat transfer - radiation,HTR,interest_1319
heat transfer and fluid dynamics,HTFD,interest_1320
heat transfer enhancement,HTE,interest_1321
heat transfer in enclosures,HTE,interest_1322
heat transfer in manufacturing,HTM,interest_1323
heat transfer in microchannels,HTM,interest_1324
heat transfer through insulation systems,HTTIS,interest_1325
heat transport at nanoscale,"HTAN, Nanoscale Science, Nanotechnology",interest_1326
heavy fermions,HF,interest_1327
heavy metal adsorption,HMA,interest_1328
heavy metal removal,HMR,interest_1329
heterocyclic chemistry,HC,interest_1330
heterocylic synthesis,HS,interest_1331
heterogeneous catalysis,HC,interest_1332
heterogeneous photocatalysis,HP,interest_1333
hetrogeneous catalysis,HC,interest_1334
heuristic method in optimization,HMO,interest_1335
hho methods,HM,interest_1336
high energy materials,"Advanced Materials, Clean Energy, HEM, Materials Science, Renewable Energy Systems",interest_1337
high energy particle physics,"Clean Energy, HEPP, Renewable Energy Systems",interest_1338
high energy physics,"Clean Energy, HEP, Renewable Energy Systems",interest_1339
high energy physics phenomenology,"Clean Energy, HEPP, Renewable Energy Systems",interest_1340
high energy theoretical physics,"Clean Energy, HETP, Renewable Energy Systems",interest_1341
high eneryg physics,HEP,interest_1342
high enthalpy flows,HEF,interest_1343
high entropy alloys,HEA,interest_1344
high entropy alloys & intermetallics,HEAI,interest_1345
high entropy oxides,HEO,interest_1346
high entropy oxides (heos),HEOH,interest_1347
high entropy thinfilms,HET,interest_1348
high level synthesis,HLS,interest_1349
high performance computing,HPC,interest_1350
high strain rate deformation,"Artificial Intelligence, HSRD, Machine Intelligence",interest_1351
high strain rate response,"Artificial Intelligence, HSRR, Machine Intelligence",interest_1352
high temperature alloys,HTA,interest_1353
high temperature materials,"Advanced Materials, HTM, Materials Science",interest_1354
high voltage and wireless power transfer,"HVWPT, Telecommunications, Wireless Systems",interest_1355
high-energy astrophysics,"Clean Energy, HEA, Renewable Energy Systems",interest_1356
high-energy phenomena,"Clean Energy, HEP, Renewable Energy Systems",interest_1357
high-k and low loss ceramics and thin films,HKLLCTF,interest_1358
high-speed flows,HSF,interest_1359
high-speed jets,HSJ,interest_1360
high-temperature deformation,HTD,interest_1361
high-throughput dft,HTD,interest_1362
higher education policies,HEP,interest_1363
highly correleted electron,HCE,interest_1364
highway construction and quality control,"Autonomous Systems, HCQC, Robotics & Automation",interest_1365
highway geometric design,HGD,interest_1366
highway materials,"Advanced Materials, HM, Materials Science",interest_1367
highway safety,HS,interest_1368
himalayan tectonics,HT,interest_1369
history of mathematics,HM,interest_1370
hiv-1,H1,interest_1371
holography,"holography Research, holography Technology",interest_1372
homogeneous catalysis,HC,interest_1373
host pathogen interaction,HPI,interest_1374
host-pathogens interactions,HPI,interest_1375
hpc,"hpc Research, hpc Technology",interest_1376
hrm,"hrm Research, hrm Technology",interest_1377
human body thermodynamics and cognition,HBTC,interest_1378
human computer interaction,HCI,interest_1379
human exposure,HE,interest_1380
human factors in transportation,HFT,interest_1381
human haptics,HH,interest_1382
human molecular genetics,HMG,interest_1383
human resource management,HRM,interest_1384
human-centric risk-aware analytics,HCRAA,interest_1385
human-computer interaction,HCI,interest_1386
humanitarian supply chain management,"Artificial Intelligence, HSCM, Machine Intelligence",interest_1387
hybrid,"hybrid Research, hybrid Technology",interest_1388
hybrid nanomaterials,"Advanced Materials, HN, Materials Science, Nanoscale Science, Nanotechnology",interest_1389
hybrid sensors,HS,interest_1390
hybrid supercapacitors,HS,interest_1391
